stand_id,species_class,variant,cond_id,rank,certainty
163,Lodgepole pine,CA,4311,3,0.850113458855303
163,Lodgepole pine,CA,4324,4,0.8331854609063438
146,Douglas-fir,CA,14249,1,0.8856652539473081
146,Douglas-fir,CA,14260,2,0.874577242159595
146,Red alder,CA,1091,3,0.8587172693519362
146,Douglas-fir,CA,4190,4,0.8568698257109341
145,Douglas-fir,CA,14249,1,0.8856104690122727
145,Douglas-fir,CA,14260,2,0.8745044141916817
145,Red alder,CA,1091,3,0.8586958955054457
145,Douglas-fir,CA,4190,4,0.8568484911722882
157,Douglas-fir,CA,7279,1,0.8168400359124477
157,California-laurel,CA,4450,2,0.8143737996426277
152,Douglas-fir,CA,14249,1,0.8855513792880713
152,Douglas-fir,CA,14260,2,0.8744439769025035
152,Red alder,CA,1091,3,0.8586677430427067
152,Douglas-fir,CA,4190,4,0.8568210872552786
137,Lodgepole pine,CA,8410,1,0.8729540620616614
137,Lodgepole pine,CA,3782,2,0.8623357466488731
137,Lodgepole pine,CA,4311,3,0.8501380140623243
137,Lodgepole pine,CA,4324,4,0.8332245834691465
148,Douglas-fir,CA,7279,1,0.8168236929924527
148,California-laurel,CA,4450,2,0.8143251064728345
